point_victor,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_score_normal,p1_score_tiebreak,p2_score_normal,p2_score_tiebreak,p1_game_victor,p2_game_victor,p1_set_victor,p2_set_victor,p1_momentum_value,p2_momentum_value,p1_momentum_value_better
1,1301,0,0,0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,0,0,0,0,0,0,0,0,0,0,0,4.695058622,3.972251958,0.722806664
0,1301,0,0,38,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118,1,1,0,0,0,1,0,0,0,0,0,3.781151306,4.053904492,-0.272753187
1,1301,0,0,61,1,1,3,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120,1,0,1,1,0,1,0,0,0,0,0,3.452510577,4.050589292,-0.598078715
0,1301,0,0,91,1,1,4,0,0,0,0,1,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130,2,1,1,1,0,2,0,0,0,0,0,3.468649784,4.012419105,-0.54376932
0,1301,0,0,141,1,1,5,0,0,0,0,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112,3,0,2,2,0,2,0,0,0,0,0,3.659604464,3.969670975,-0.310066511
1,1301,0,0,170,1,1,6,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97,2,0,0,3,0,2,0,0,0,0,0,3.91036488,3.9384975,-0.028132619
0,1301,0,0,213,1,1,7,0,0,0,0,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109,3,1,1,3,0,3,0,0,0,0,0,4.14797032,3.925389897,0.222580423
1,1301,0,0,241,1,1,8,0,0,0,0,1,2,4,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105,1,0,0,4,0,3,0,0,0,0,0,4.330908396,3.930604264,0.400304132
0,1301,0,0,288,1,1,9,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128,0,1,1,3,0,3,0,0,0,0,0,4.440499907,3.950734584,0.489765322
0,1301,0,0,332,1,1,10,0,0,0,0,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110,1,0,0,4,0,3,0,1,0,0,0,4.47398416,3.980591025,0.493393135
