point_victor,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_score_normal,p1_score_tiebreak,p2_score_normal,p2_score_tiebreak,p1_game_victor,p2_game_victor,p1_set_victor,p2_set_victor,p1_momentum,p2_momentum,p1_momentum_value,p2_momentum_value,p1_momentum_value_better
1.0,1301.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.84,2.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.7435528684609976,1.1461256500046828,1.5974272184563147
0.0,1301.0,0.0,0.0,38.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.253,7.094,1.0,118.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.121337391297721,0.9818132614618702,2.1395241298358507
1.0,1301.0,0.0,0.0,61.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,19.808,4.0,120.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.2273846399724992,0.9090304009802255,2.3183542389922738
0.0,1301.0,0.0,0.0,91.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.108,75.631,13.0,130.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.187365391638807,0.8935665362294055,2.2937988554094013
0.0,1301.0,0.0,0.0,141.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.649,0.813,1.0,112.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.085338544854446,0.9110959535110423,2.174242591343404
1.0,1301.0,0.0,0.0,170.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.291,4.249,2.0,97.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.974168109632429,0.9448031880715202,2.0293649215609086
0.0,1301.0,0.0,0.0,213.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.817,17.821,1.0,109.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.8839096106286846,0.9834891140566011,1.9004204965720835
1.0,1301.0,0.0,0.0,241.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.503,18.067,6.0,105.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.828478172276034,1.0200776057895593,1.8084005664864746
0.0,1301.0,0.0,0.0,288.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.489,24.594,7.0,128.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.810872763898563,1.0504533245016245,1.7604194393969383
0.0,1301.0,0.0,0.0,332.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.235,27.427,5.0,110.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.827196811825242,1.0725707411563763,1.7546260706688657
