p1_start_prob	0	1	2	3	4					
0	9.35E-37	0	5.19E-59	8.72E-101	1.00E+00					
										
p1_transition_prob	0	1	2	3	4					
0	0.970920536	0.007607808	5.33E-10	5.21E-32	0.021471656					
1	0.14196809	0.85803191	3.18E-65	2.27E-107	4.10E-31					
2	8.75E-11	1.83E-24	7.21E-01	1.46E-70	2.79E-01					
3	4.27E-44	3.14E-110	1.38E-48	9.14E-01	8.57E-02					
4	0.021734778	2.14E-31	1.60E-30	5.69E-03	9.73E-01					
										
p1_emission_prob	0	1	2	3	4	5	6	7	8	9
0	0.121338061	0.119669307	0.085587936	0.099800173	0.094880209	0.094468154	0.099100141	0.090276594	0.099902499	0.094976926
1	0.134841298	0.081061188	0.004278869	0.094902943	0.098239938	0.124149626	0.116868988	0.105425852	0.137244241	0.102987057
2	0.114579235	0.148250896	0.103497626	0.114136917	0.061804073	0.109037115	0.072197619	0.105453473	0.083733491	0.087309555
3	0.121700763	0.054953834	0.072336588	0.157932919	0.130190589	0.120916615	0.046884748	0.111428533	0.081080681	0.10257473
4	0.125021369	0.090677475	0.101075984	0.096354874	0.101617012	0.103238172	0.092216005	0.102518365	0.089455688	0.097825055
										
p1_state_impacts	0	1	2	3	4					
0	124.4588484	7.043854731	9.715627503	11.68415712	174.0975122					
										
p2_start_prob	0	1	2	3	4					
0	4.12E-39	1.00E+00	1.65E-283	0.00E+00	5.15E-225					
										
p2_transition_prob	0	1	2	3	4					
0	0.863971143	0.033935035	0.102093822	8.39E-21	1.17E-10					
1	0.015906481	0.952435371	2.11E-09	0.015820594	0.015837551					
2	0.010827144	2.51E-25	0.989172856	1.63E-124	7.24E-145					
3	0.081350737	5.15E-31	7.04E-190	0.918649263	1.40E-188					
4	5.76E-14	0.029570697	5.48E-141	8.67E-280	0.970429303					
										
p2_emission_prob	0	1	2	3	4	5	6	7	8	9
0	0.124153981	0.116374581	0.101690752	0.138865387	0.074008234	0.091603831	0.08388765	0.087796147	0.095820378	0.085799058
1	0.144489781	0.077365883	0.119706143	0.103278959	0.080277494	0.087567569	0.100781379	0.107494816	0.07039391	0.108644066
2	0.130834919	0.095395148	0.068373203	0.090022344	0.108908494	0.111980179	0.097092284	0.093838823	0.110821969	0.092732636
3	0.111602727	0.13419135	0.148480868	0.21341296	0.056518773	0.061495415	0.031387624	0.076743759	0.088777472	0.077389053
4	0.171069039	0.132481912	0.069633705	0.122243782	0.037609802	0.076207398	0.122571376	0.111520473	0.045433403	0.111229111
										
p2_state_impacts	0	1	2	3	4					
0	29.70246936	63.18902518	187.9555606	12.29958999	33.8533549					
										
										
	test name	p value								
	Wald-Wolfowitz runs test	2.59E-10								
	Wilcoxon Rank Sum test	9.38E-25								
